  -30.0000000       1.59516118E-12   1.59559963E-12
  -29.9400005       1.60155049E-12   1.60199068E-12
  -29.8800011       1.60797797E-12   1.60842455E-12
  -29.8200016       1.61444447E-12   1.61490125E-12
  -29.7600021       1.62094969E-12   1.62141015E-12
  -29.7000027       1.62749436E-12   1.62795656E-12
  -29.6400032       1.63407872E-12   1.63454048E-12
  -29.5800037       1.64070309E-12   1.64117255E-12
  -29.5200043       1.64736790E-12   1.64783681E-12
  -29.4600048       1.65407325E-12   1.65454922E-12
  -29.4000053       1.66081970E-12   1.66129924E-12
  -29.3400059       1.66760768E-12   1.66809210E-12
  -29.2800064       1.67443717E-12   1.67492235E-12
  -29.2200069       1.68130841E-12   1.68179554E-12
  -29.1600075       1.68822226E-12   1.68871687E-12
  -29.1000080       1.69517883E-12   1.69567583E-12
  -29.0400085       1.70217855E-12   1.70268292E-12
  -28.9800091       1.70922141E-12   1.70972752E-12
  -28.9200096       1.71630798E-12   1.71682037E-12
  -28.8600101       1.72343899E-12   1.72395605E-12
  -28.8000107       1.73061468E-12   1.73113455E-12
  -28.7400112       1.73783492E-12   1.73836130E-12
  -28.6800117       1.74510005E-12   1.74563088E-12
  -28.6200123       1.75241137E-12   1.75294339E-12
  -28.5600128       1.75976887E-12   1.76030935E-12
  -28.5000134       1.76717245E-12   1.76771824E-12
  -28.4400139       1.77462277E-12   1.77516996E-12
  -28.3800144       1.78212046E-12   1.78266993E-12
  -28.3200150       1.78966520E-12   1.79021815E-12
  -28.2600155       1.79725863E-12   1.79781981E-12
  -28.2000160       1.80490020E-12   1.80546442E-12
  -28.1400166       1.81259055E-12   1.81316258E-12
  -28.0800171       1.82032991E-12   1.82090909E-12
  -28.0200176       1.82811925E-12   1.82869822E-12
  -27.9600182       1.83595869E-12   1.83654112E-12
  -27.9000187       1.84384842E-12   1.84443736E-12
  -27.8400192       1.85178934E-12   1.85238738E-12
  -27.7800198       1.85978164E-12   1.86038554E-12
  -27.7200203       1.86782512E-12   1.86843184E-12
  -27.6600208       1.87592108E-12   1.87653192E-12
  -27.6000214       1.88407016E-12   1.88468533E-12
  -27.5400219       1.89227215E-12   1.89289253E-12
